osmid	y	x
31179466	37.9871724	23.726682
31179468	37.9856434	23.7241204
42240105	37.9761998	23.7343793
95663374	37.9863552	23.723325
95663375	37.9861129	23.7249236
95663376	37.985959	23.725926
95663377	37.985398	23.7257836
95663385	37.9857657	23.7271846
95663386	37.9852114	23.7270486
95663389	37.985506	23.7250517
95663392	37.9885741	23.7291214
95663394	37.9901558	23.7295195
95663400	37.9888466	23.72919
95663402	37.9888007	23.729499
95663418	37.9865686	23.7257031
95663419	37.9868837	23.7234789
95663420	37.9861564	23.7285143
95663422	37.9855836	23.7283706
95663423	37.9850366	23.7282335
95663426	37.9868729	23.7274563
95663433	37.9874107	23.7275882
95663454	37.9872252	23.7287824
95663461	37.9877086	23.7276613
95663463	37.9879272	23.7277151
95663464	37.9878876	23.7279778
95663467	37.9877467	23.7289132
95663472	37.9880837	23.7266763
95663474	37.9878886	23.7258952
95663490	37.9888208	23.7250694
95663492	37.9865152	23.7260626
95663493	37.9860722	23.7251889
95663499	37.9876127	23.7257222
95663501	37.9872149	23.7254411
95663502	37.9866543	23.7250632
95663504	37.9861335	23.7247728
95663524	37.9873335	23.7247626
95663527	37.9868185	23.7261306
95663631	37.9895011	23.7293547
97788192	37.9870177	23.730119
97788195	37.9875469	23.7302398
97788202	37.9895847	23.7308398
97788210	37.9899376	23.7309302
97788213	37.9886561	23.7304716
97788216	37.9899588	23.7307935
97788219	37.9894893	23.7336336
97788471	37.9915157	23.7298367
97788477	37.9913117	23.7311278
97788586	37.9874088	23.7311561
97788594	37.9863256	23.7308878
97788686	37.9861764	23.7317478
97788769	37.9893935	23.7342533
97788848	37.9893213	23.7347208
97788855	37.98925	23.7351829
97792969	37.9891838	23.7356115
97792973	37.9891271	23.7359784
97797051	37.9903727	23.7338542
97797081	37.990272	23.7344657
97797086	37.9901927	23.7349494
97797090	37.9904581	23.733335
97797093	37.9905432	23.7328175
97797098	37.9906638	23.7320839
97797102	37.9908165	23.7311551
97797184	37.9897925	23.7318686
97797186	37.990095	23.7327041
97797191	37.9896795	23.7325989
97797196	37.9902081	23.7319713
97797197	37.9895988	23.7331204
97834703	37.9890808	23.7248781
97834761	37.9870356	23.7264514
97834765	37.9877534	23.7248767
97834824	37.9881734	23.724988
97834829	37.98874	23.72514
97834834	37.9880432	23.7257326
97834909	37.9883597	23.7239184
97835127	37.9879416	23.7237962
97839355	37.9887804	23.7240414
97839357	37.9888911	23.7240737
97839373	37.9889499	23.7249715
97846089	37.9828872	23.7264693
97846098	37.982807	23.727019
98303817	37.9867215	23.7245984
250663746	37.9836712	23.7252862
250691272	37.9763519	23.7334596
250691664	37.9816631	23.7302053
250691665	37.9809147	23.7308595
250691666	37.9800553	23.7315863
250691668	37.9787013	23.7327189
250691669	37.9780795	23.733224
250691670	37.9774996	23.7337272
250691723	37.9780935	23.7348738
250691724	37.9786886	23.7343686
250691739	37.978045	23.7372101
250691741	37.9785906	23.7382559
250691753	37.9794738	23.73754
250691755	37.9789285	23.7364867
250691793	37.9775113	23.7376587
250691794	37.9776723	23.7375253
250691827	37.9765	23.7358438
250691847	37.9759484	23.7357767
250692062	37.9777729	23.7381525
250692063	37.9780568	23.7386883
250692359	37.9783998	23.7369241
250692405	37.9776379	23.7390281
250692409	37.9771792	23.7386739
250698924	37.9793349	23.73382
250698926	37.9811074	23.7322884
250699359	37.9815409	23.734332
250699362	37.9829088	23.7332314
250699612	37.9818966	23.7338204
250699613	37.9819811	23.7339908
250699711	37.9829944	23.7346918
250699973	37.983435	23.7355592
250699982	37.9814906	23.7319629
250699983	37.9820166	23.7315163
250699984	37.9824212	23.7323057
250700083	37.9832887	23.7329218
250700084	37.9841573	23.7322095
250700085	37.9847425	23.7317305
250700142	37.9829031	23.7291536
250700248	37.9832261	23.7304891
250700339	37.9847331	23.7332879
250700341	37.9839436	23.7318096
250700343	37.9836341	23.7312304
250700344	37.9826112	23.7293886
250702474	37.9822263	23.7313381
250706414	37.977355	23.732875
250706958	37.9838309	23.7340111
250706959	37.9853174	23.7328196
250707871	37.9843011	23.7308945
250708051	37.9836523	23.7312812
250708099	37.9827909	23.7319847
250708522	37.9842915	23.7348571
250708556	37.9839097	23.7351894
250708641	37.9834614	23.7343073
250709162	37.9814219	23.7342104
250709582	37.9793654	23.7321624
250712701	37.9855988	23.7333508
250713331	37.9900724	23.7353794
250713539	37.98517	23.7313805
250714050	37.985374	23.7297355
250714051	37.983919	23.7293833
250714052	37.9859556	23.7298764
250720871	37.9843255	23.7268306
250720872	37.9845367	23.7255609
250720873	37.9846551	23.7248487
250921080	37.9856175	23.7242961
262236447	37.9844092	23.7282236
300398465	37.9863298	23.7273229
300400248	37.9812841	23.7360784
300400470	37.9795354	23.7359852
300401174	37.9789556	23.73796
300401270	37.9783093	23.7377161
300401271	37.9786664	23.7374206
300401360	37.9792015	23.7370139
358464012	37.9910136	23.7356042
358464018	37.9910813	23.7351706
358464027	37.9911588	23.73468
358464040	37.9912669	23.7340774
358464049	37.9914268	23.7330412
358464159	37.9907396	23.7345787
358464166	37.9908411	23.7339711
358464174	37.9910137	23.7329366
358464177	37.9916285	23.7323822
358464212	37.9915406	23.732304
358464213	37.9911364	23.7322008
358465186	37.9920746	23.7313195
358465410	37.9922744	23.7300269
358465904	37.9902757	23.7287445
358465939	37.9916387	23.7290582
358465943	37.99269	23.7326721
359096435	37.9891868	23.7360856
363357735	37.9832153	23.7288925
364104825	37.9841488	23.7346288
364104830	37.9850609	23.7339253
388172051	37.9843766	23.7326199
388172055	37.984045	23.7331594
388172056	37.9836516	23.7336753
388172075	37.9844929	23.7334805
388172082	37.9846272	23.7330888
388172083	37.984987	23.7321942
515962403	37.9912906	23.7312765
516020343	37.9915271	23.7329792
516020349	37.9920971	23.7325336
516020362	37.9917193	23.7318478
516020524	37.9864606	23.7299917
569850326	37.9901202	23.7353908
597677303	37.9894966	23.7306793
599116897	37.9824431	23.7336127
625958232	37.9913526	23.7340988
631608665	37.9911134	23.7356301
633562896	37.9883075	23.7242178
633562897	37.9874281	23.724221
