link_id,action,next_link_id
0,0,365
0,1,366
1,0,127
2,0,244
2,1,243
3,0,395
5,0,29
5,1,28
6,0,66
6,1,67
7,0,340
8,0,394
9,0,11
9,1,12
10,0,58
10,1,59
11,0,421
11,1,420
12,0,16
12,1,15
13,0,16
13,1,15
14,0,10
14,1,9
15,0,34
16,0,239
16,1,238
17,0,11
17,1,12
18,0,58
18,1,59
19,0,24
19,1,25
20,0,23
21,0,85
21,1,84
22,0,329
23,0,73
24,0,349
24,1,348
25,0,23
26,0,341
27,0,72
27,1,70
28,0,143
29,0,401
30,0,237
30,1,236
31,0,357
31,1,356
32,0,14
32,1,13
33,0,31
33,1,30
34,0,33
34,1,32
35,0,337
35,1,338
36,0,247
36,1,249
36,2,248
37,0,40
37,1,39
38,0,35
38,1,36
39,0,75
39,1,74
40,0,50
40,1,49
41,0,378
41,1,379
42,0,47
42,1,48
43,0,38
43,1,37
44,0,51
45,0,42
45,1,41
45,2,43
46,0,41
46,1,43
47,0,355
48,0,44
48,1,45
49,0,363
49,1,364
50,0,19
50,1,20
51,0,330
52,0,359
52,1,360
53,0,60
53,1,61
54,0,405
55,0,133
55,1,132
56,0,10
56,1,9
57,0,27
57,1,26
58,0,340
58,1,341
59,0,7
59,1,6
59,2,8
60,0,128
61,0,62
61,1,63
62,0,68
62,1,69
63,0,64
63,1,65
64,0,66
64,1,67
65,0,27
65,1,26
66,0,5
67,0,395
67,1,394
68,0,321
68,1,322
69,0,143
70,0,57
70,1,56
71,0,26
72,0,409
73,0,22
73,1,21
74,0,393
75,0,309
75,1,310
76,0,79
77,0,75
77,1,74
78,0,50
78,1,49
79,0,81
79,1,80
80,0,118
80,1,119
81,0,117
82,0,24
82,1,25
83,0,76
83,1,78
83,2,77
84,0,81
84,1,80
85,0,313
85,1,314
86,0,98
87,0,106
87,1,105
89,0,281
90,0,89
90,1,88
91,0,85
91,1,84
92,0,393
93,0,76
93,1,78
93,2,77
94,0,309
94,1,310
95,0,375
95,1,376
96,0,336
97,0,94
97,1,95
98,0,99
98,1,100
99,0,110
99,1,109
100,0,101
101,0,103
101,1,102
102,0,104
103,0,368
104,0,285
105,0,112
105,1,111
106,0,269
106,1,270
107,0,98
108,0,106
108,1,105
109,0,108
109,1,107
110,0,261
111,0,125
112,0,114
112,1,113
113,0,120
113,1,121
114,0,116
114,1,115
115,0,117
116,0,278
116,1,277
117,0,301
117,1,302
117,2,303
118,0,124
118,1,123
119,0,122
120,0,124
121,0,122
122,0,125
123,0,121
124,0,116
124,1,115
125,0,87
125,1,86
126,0,141
127,0,409
127,1,408
128,0,68
128,1,69
129,0,61
130,0,128
130,1,129
131,0,134
132,0,134
133,0,130
133,1,131
134,0,53
134,1,52
135,0,320
136,0,138
137,0,136
137,1,135
138,0,139
139,0,140
139,1,141
141,0,404
143,0,64
143,1,65
144,0,211
144,1,210
145,0,147
145,1,146
146,0,148
148,0,227
149,0,176
150,0,339
151,0,152
152,0,153
152,1,154
153,0,155
153,1,156
154,0,4
155,0,163
155,1,164
156,0,157
156,1,158
157,0,176
158,0,152
159,0,167
160,0,253
161,0,255
161,1,254
162,0,415
162,1,414
163,0,258
163,1,259
164,0,173
164,1,174
165,0,171
166,0,392
166,1,391
167,0,165
167,1,166
168,0,373
168,1,374
169,0,369
169,1,370
170,0,344
170,1,342
170,2,343
171,0,172
172,0,160
172,1,161
173,0,257
173,1,256
174,0,159
175,0,172
176,0,177
177,0,189
177,1,188
178,0,410
179,0,417
179,1,416
179,2,418
180,0,316
180,1,315
181,0,222
181,1,223
182,0,224
182,1,226
183,0,177
184,0,183
184,1,182
185,0,178
185,1,179
186,0,222
186,1,223
188,0,147
188,1,146
189,0,191
189,1,190
190,0,211
191,0,193
191,1,192
192,0,218
193,0,181
193,1,180
194,0,218
195,0,181
195,1,180
196,0,194
196,1,195
197,0,291
198,0,197
198,1,196
199,0,216
200,0,209
200,1,208
201,0,207
202,0,235
202,1,234
203,0,215
204,0,290
205,0,216
206,0,197
206,1,196
207,0,217
208,0,144
208,1,145
209,0,201
209,1,202
210,0,191
211,0,201
211,1,202
212,0,153
212,1,154
213,0,295
213,1,294
214,0,296
214,1,297
215,0,300
216,0,207
217,0,206
217,1,205
218,0,217
219,0,289
219,1,288
220,0,221
222,0,221
223,0,214
223,1,213
224,0,178
224,1,179
225,0,183
226,0,422
227,0,149
227,1,150
227,2,151
228,0,215
229,0,101
230,0,311
231,0,199
231,1,198
232,0,33
232,1,32
233,0,235
233,1,234
234,0,200
235,0,246
235,1,245
236,0,375
236,1,376
237,0,232
237,1,233
238,0,399
238,1,400
239,0,241
239,1,240
241,0,242
242,0,18
242,1,17
243,0,18
243,1,17
245,0,239
245,1,238
246,0,34
247,0,354
248,0,31
248,1,30
249,0,14
249,1,13
250,0,410
251,0,163
251,1,164
252,0,333
252,1,334
253,0,162
254,0,171
255,0,159
256,0,255
256,1,254
257,0,253
258,0,162
259,0,257
259,1,256
260,0,311
260,1,312
261,0,260
262,0,261
263,0,268
264,0,317
265,0,263
265,1,262
266,0,271
266,1,272
267,0,264
267,1,265
268,0,108
268,1,107
269,0,264
269,1,265
270,0,268
271,0,114
271,1,113
272,0,269
272,1,270
273,0,372
273,1,371
274,0,307
274,1,308
275,0,273
275,1,274
276,0,266
276,1,267
277,0,271
277,1,272
278,0,275
278,1,276
279,0,281
280,0,397
281,0,325
281,1,324
282,0,327
282,1,328
283,0,22
283,1,21
285,0,368
286,0,235
286,1,234
287,0,200
288,0,214
288,1,213
289,0,290
290,0,228
291,0,299
291,1,298
292,0,291
293,0,296
293,1,297
294,0,194
294,1,195
295,0,293
295,1,292
297,0,204
297,1,203
298,0,300
299,0,204
299,1,203
300,0,199
300,1,198
301,0,382
302,0,388
302,1,389
303,0,278
303,1,277
304,0,306
305,0,273
305,1,274
307,0,403
308,0,387
308,1,386
309,0,357
309,1,356
310,0,237
310,1,236
311,0,110
311,1,109
312,0,229
313,0,79
314,0,347
315,0,184
315,1,185
316,0,187
316,1,186
317,0,304
317,1,305
318,0,260
319,0,317
320,0,130
320,1,131
321,0,320
322,0,401
323,0,29
323,1,28
324,0,326
326,0,279
326,1,280
328,0,329
329,0,89
329,1,88
330,0,331
331,0,53
331,1,52
332,0,230
332,1,229
333,0,335
334,0,157
334,1,158
335,0,176
336,0,231
337,0,358
338,0,362
338,1,361
340,0,27
341,0,6
341,1,8
342,0,369
342,1,370
344,0,168
345,0,170
345,1,169
346,0,402
347,0,82
347,1,83
348,0,347
349,0,313
349,1,314
350,0,354
351,0,247
351,1,249
351,2,248
352,0,1
352,1,0
353,0,51
354,0,57
354,1,56
355,0,19
355,1,20
356,0,35
356,1,36
