episode,step,state,action,next_state,reward,trajectory
1,1.0,144.0,1.0,210.0,0.3720729649066925,
1,2.0,210.0,0.0,191.0,0.3526487350463867,
1,3.0,191.0,0.0,193.0,0.2210375964641571,
1,4.0,193.0,1.0,180.0,0.447193443775177,
1,5.0,180.0,1.0,315.0,0.7820902466773987,
1,6.0,315.0,1.0,185.0,0.592786967754364,
1,7.0,185.0,1.0,179.0,0.8033629059791565,
1,8.0,179.0,2.0,418.0,0.740832507610321,
1,9.0,418.0,1.0,251.0,0.8041903972625732,
1,10.0,251.0,1.0,164.0,0.6753146648406982,
1,11.0,164.0,1.0,174.0,0.765755295753479,
1,12.0,174.0,0.0,159.0,0.8026331663131714,
1,13.0,159.0,0.0,167.0,0.7756816744804382,
1,14.0,167.0,1.0,166.0,0.8619025945663452,
1,15.0,166.0,0.0,392.0,0.7017091512680054,
1,,,,,,"[{'state': 144, 'action': 1}, {'state': 210, 'action': 0}, {'state': 191, 'action': 0}, {'state': 193, 'action': 1}, {'state': 180, 'action': 1}, {'state': 315, 'action': 1}, {'state': 185, 'action': 1}, {'state': 179, 'action': 2}, {'state': 418, 'action': 1}, {'state': 251, 'action': 1}, {'state': 164, 'action': 1}, {'state': 174, 'action': 0}, {'state': 159, 'action': 0}, {'state': 167, 'action': 1}, {'state': 166, 'action': 0}]"
2,1.0,390.0,0.0,344.0,0.288499653339386,
2,2.0,344.0,0.0,168.0,0.5050878524780273,
2,3.0,168.0,1.0,374.0,0.6623808741569519,
2,4.0,374.0,1.0,156.0,0.6536527276039124,
2,5.0,156.0,0.0,157.0,0.6728085279464722,
2,6.0,157.0,0.0,176.0,0.6845933794975281,
2,7.0,176.0,0.0,177.0,0.7051258683204651,
2,8.0,177.0,0.0,189.0,0.666347861289978,
2,9.0,189.0,1.0,190.0,0.5670527815818787,
2,10.0,190.0,0.0,211.0,0.5319900512695312,
2,11.0,211.0,1.0,202.0,0.747795045375824,
2,12.0,202.0,0.0,235.0,0.6362287402153015,
2,13.0,235.0,1.0,245.0,0.34760722517967224,
2,14.0,245.0,0.0,239.0,0.7192569971084595,
2,15.0,239.0,1.0,240.0,0.2941235899925232,
2,,,,,,"[{'state': 390, 'action': 0}, {'state': 344, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 1}, {'state': 245, 'action': 0}, {'state': 239, 'action': 1}]"
3,1.0,390.0,0.0,344.0,0.2804637551307678,
3,2.0,344.0,0.0,168.0,0.5023139119148254,
3,3.0,168.0,1.0,374.0,0.7218854427337646,
3,4.0,374.0,1.0,156.0,0.6964170932769775,
3,5.0,156.0,0.0,157.0,0.6785829067230225,
3,6.0,157.0,0.0,176.0,0.6980464458465576,
3,7.0,176.0,0.0,177.0,0.7308769226074219,
3,8.0,177.0,0.0,189.0,0.6764771342277527,
3,9.0,189.0,1.0,190.0,0.6242992877960205,
3,10.0,190.0,0.0,211.0,0.5989688038825989,
3,11.0,211.0,1.0,202.0,0.7421550750732422,
3,12.0,202.0,0.0,235.0,0.7066887617111206,
3,13.0,235.0,1.0,245.0,0.33651790022850037,
3,14.0,245.0,0.0,239.0,0.7077663540840149,
3,15.0,239.0,0.0,241.0,1.6307849884033203,
3,16.0,241.0,0.0,242.0,0.6514415740966797,
3,,,,,,"[{'state': 390, 'action': 0}, {'state': 344, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 1}, {'state': 245, 'action': 0}, {'state': 239, 'action': 0}, {'state': 241, 'action': 0}]"
4,1.0,286.0,0.0,235.0,0.5175017714500427,
4,2.0,235.0,0.0,246.0,0.4595411717891693,
4,3.0,246.0,0.0,34.0,0.6932394504547119,
4,4.0,34.0,0.0,33.0,0.6527895927429199,
4,5.0,33.0,0.0,31.0,0.5179572701454163,
4,6.0,31.0,0.0,357.0,0.5164982676506042,
4,7.0,357.0,0.0,40.0,0.6750070452690125,
4,8.0,40.0,0.0,50.0,0.7010470032691956,
4,9.0,50.0,1.0,20.0,0.6069990992546082,
4,10.0,20.0,0.0,23.0,0.8320583701133728,
4,11.0,23.0,0.0,73.0,0.7931366562843323,
